Country,Year,GDP_Per_Capita
Chile,1974,1542.925527
Bangladesh,1974,164.9863936
Nauru,1974,5199.264975
Nicaragua,1974,556.8661225
Norway,1974,6811.527337
Namibia,1974,..
New Zealand,1974,4610.570426
United States,1974,7225.69136
Niger,1974,198.2891653
"Korea, Rep.",1974,563.3524758
"Venezuela, RB",1974,2033.519008
"Iran, Islamic Rep.",1974,1408.965719
Latvia,1974,..
Panama,1974,1296.447593
Ethiopia,1974,147.8557225
World,1974,1358.909211
Chile,1975,714.1946235
Bangladesh,1975,249.804254
Nauru,1975,5740.199787
Nicaragua,1975,561.4596954
Norway,1975,8204.451512
Namibia,1975,..
New Zealand,1975,4171.76974
United States,1975,7801.456664
Niger,1975,197.232873
"Korea, Rep.",1975,617.4560619
"Venezuela, RB",1975,2078.15342
"Iran, Islamic Rep.",1975,1531.706171
Latvia,1975,..
Panama,1975,1405.748997
Ethiopia,1975,144.2805376
World,1975,1485.241767
Chile,1976,953.9015123
Bangladesh,1976,126.6930442
Nauru,1976,5703.203171
Nicaragua,1976,632.5737784
Norway,1976,8927.201627
Namibia,1976,..
New Zealand,1976,4373.840998
United States,1976,8592.253537
Niger,1976,194.7895706
"Korea, Rep.",1976,834.134208
"Venezuela, RB",1976,2309.192935
"Iran, Islamic Rep.",1976,1953.519697
Latvia,1976,..
Panama,1976,1456.500097
Ethiopia,1976,151.9561866
World,1976,1585.850228
Chile,1977,1268.962883
Bangladesh,1977,117.8877714
Nauru,1977,5646.335581
Nicaragua,1977,744.1853204
Norway,1977,10266.12067
Namibia,1977,..
New Zealand,1977,4950.588205
United States,1977,9452.576519
Niger,1977,229.8084176
"Korea, Rep.",1977,1055.880041
"Venezuela, RB",1977,2585.220511
"Iran, Islamic Rep.",1977,2243.055595
Latvia,1977,..
Panama,1977,1503.265034
Ethiopia,1977,170.4041437
World,1977,1761.677018
Chile,1978,1431.350138
Bangladesh,1978,158.3242552
Nauru,1978,5721.313689
Nicaragua,1978,690.7412617
Norway,1978,11462.59459
Namibia,1978,..
New Zealand,1978,5936.98526
United States,1978,10564.94822
Niger,1978,306.8280225
"Korea, Rep.",1978,1405.822374
"Venezuela, RB",1978,2727.137466
"Iran, Islamic Rep.",1978,2100.770153
Latvia,1978,..
Panama,1978,1738.487637
Ethiopia,1978,178.3024806
World,1978,2049.371508
Chile,1979,1922.977189
Bangladesh,1979,181.1307067
Nauru,1979,5949.562162
Nicaragua,1979,495.3665974
Norway,1979,13046.53722
Namibia,1979,..
New Zealand,1979,6668.138666
United States,1979,11674.18187
Niger,1979,354.1697309
"Korea, Rep.",1979,1783.622313
"Venezuela, RB",1979,3256.649087
"Iran, Islamic Rep.",1979,2352.426552
Latvia,1979,..
Panama,1979,1937.981075
Ethiopia,1979,192.3571173
World,1979,2328.824835
Chile,1980,2523.055456
Bangladesh,1980,206.0757143
Nauru,1980,6137.681296
Nicaragua,1980,659.2971431
Norway,1980,15772.24091
Namibia,1980,2467.807655
New Zealand,1980,7467.168038
United States,1980,12574.79151
Niger,1980,408.8227798
"Korea, Rep.",1980,1715.4224
"Venezuela, RB",1980,3874.404706
"Iran, Islamic Rep.",1980,2368.392857
