Country,Year,Fertility_Rate,GDP_Per_Capita,Homicide_Rate,Avg_Yrs_Education,Infant_Mortality,Life_Expectancy
Bangladesh,1980,6.326,206.0757143,1.6720384135376936,1.31,13.789642,52.2778
Bangladesh,1981,6.237,224.2413924,1.829637237335198,1.436,13.472392,52.6383
Bangladesh,1982,6.118,199.5959446,1.987816011987886,1.562,13.139923,53.0119
Bangladesh,1983,5.906,184.7067729,2.1704136480849017,1.688,12.7883005,53.4409
Bangladesh,1984,5.732,193.435021,2.442022189087872,1.814,12.423361,53.8259
Bangladesh,1985,5.539,222.2201804,2.5846687563091173,1.94,12.0409155,53.9371
Bangladesh,1986,5.302,212.1489939,2.623138724948418,2.032,11.662615,54.5915
Bangladesh,1987,5.075,231.4995845,2.70295523898704,2.124,11.275377,54.8992
Bangladesh,1988,4.849,247.901466,2.796526189019707,2.216,10.885935,55.1744
Bangladesh,1989,4.695,263.0057208,2.734574878846131,2.308,10.49698,55.5135
Bangladesh,1990,4.506,283.0537371,2.835000501770709,2.4,10.105052,55.8219
Bangladesh,1991,4.261,272.0649485,2.7519653950918146,2.542,9.710617,53.7809
Bangladesh,1992,4.027,273.4650725,2.799643049875133,2.6839999999999997,9.313297,56.5915
Bangladesh,1993,3.832,280.7572745,2.875322965378425,2.8259999999999996,8.916536,57.0729
Bangladesh,1994,3.737,280.6030318,2.9002582092857323,2.968,8.521731,57.6403
Bangladesh,1995,3.588,309.4586808,3.013402329739276,3.11,8.131104,58.2442
Bangladesh,1996,3.505,371.9179377,3.0300580503663443,3.354,7.7442627,58.9395
Bangladesh,1997,3.502,379.2849177,2.9750143936397504,3.598,7.3630853,59.6713
Bangladesh,1998,3.427,385.6168818,2.944035805343715,3.842,6.9913406,60.4291
Bangladesh,1999,3.357,388.0956843,2.846349900987796,4.086,6.6403074,61.2444
Bangladesh,2000,3.279,396.6707302,2.787458319785774,4.33,6.303878,62.0487
Bangladesh,2001,3.203,394.65641,2.711304785083489,4.518,5.9891005,62.8358
Bangladesh,2002,3.126,393.8864223,2.592017556382408,4.7059999999999995,5.6970015,63.5914
Bangladesh,2003,3.029,426.7488075,2.511077303397085,4.894,5.4252524,64.2877
Bangladesh,2004,2.94,455.6140169,2.437564133708634,5.082,5.1708517,64.9118
Bangladesh,2005,2.846,480.0858508,2.473104093739583,5.27,4.9297028,65.5087
Bangladesh,2006,2.755,490.3880265,2.560191550804204,5.4639999999999995,4.6971965,66.0479
Bangladesh,2007,2.666,537.9554928,2.531274978342404,5.6579999999999995,4.4756536,66.4578
Bangladesh,2008,2.577,613.062041,2.494859313781354,5.852,4.2657814,67.0471
Bangladesh,2009,2.484,679.2114774,2.548447932601756,6.046,4.070314,67.5269
Bangladesh,2010,2.38,757.3852804,2.5821618515456253,6.24,3.888126,68.0091
Bangladesh,2011,2.309,837.3369447,2.431801898780081,6.41,3.718272,68.4988
Bangladesh,2012,2.263,859.6805364,2.187771107737789,6.58,3.560538,68.9894
Bangladesh,2013,2.247,958.2629898,2.240463125424043,6.75,3.4114468,69.4874
Bangladesh,2014,2.228,1094.461997,2.1561680430969865,6.92,3.2717373,70.0162
Bangladesh,2015,2.227,1224.386477,2.136711323282488,7.09,3.1371932,70.5429
Bangladesh,2016,2.227,1649.283809,2.1349147356884526,7.248,3.009588,71.0752
Bangladesh,2017,2.205,1811.082217,2.135810234895909,7.406,2.8891807,71.6056
Bangladesh,2018,2.193,1965.243727,2.0886591542875603,7.564,2.7750688,72.1217
Bangladesh,2019,2.18,2129.79897,2.105653056083793,7.7219999999999995,2.6699767,72.6254
Bangladesh,2020,2.175,2248.850788,1.9899221826804008,7.88,2.5749984,71.4211
Bangladesh,2021,2.173,2482.849178,1.9352309988178265,7.88,2.4879305,71.1035
Bangladesh,2022,2.179,2716.485927,,7.88,2.4068456,74.2647
Bangladesh,2023,2.163,2551.017727,,7.88,,74.6723
Chile,1980,2.744,2523.055456,9.031257694897048,7.07,2.7638402,69.4748
Chile,1981,2.689,2954.937434,8.855785159628356,7.220000000000001,2.5060678,69.8222
